readed data
Epoch 1 Train cost: 11.145580058Train mae: 10.9722296337 Validation cost: 10.5106508382 Validation mae 10.3577316449,counter 0 __best__ 
Epoch 2 Train cost: 10.5074308926Train mae: 10.3714656986 Validation cost: 10.0928948089 Validation mae 9.97320489186,counter 0 __best__ 
Epoch 3 Train cost: 10.775619651Train mae: 10.6687108622 Validation cost: 10.0650105303 Validation mae 9.97036779484,counter 0 __best__ 
Epoch 4 Train cost: 9.75209633367Train mae: 9.66838356822 Validation cost: 9.47566381201 Validation mae 9.40144162629,counter 0 __best__ 
Epoch 5 Train cost: 9.60370595429Train mae: 9.53843427794 Validation cost: 8.94374384631 Validation mae 8.88660120234,counter 0 __best__ 
Epoch 6 Train cost: 9.36038181059 Validation cost: 8.93812562546,counter 1
Epoch 7 Train cost: 9.26047829815 Validation cost: 9.0664626952,counter 2
Epoch 8 Train cost: 9.27507468536 Validation cost: 9.50025326383,counter 3
Epoch 9 Train cost: 9.24060562754 Validation cost: 9.43807410779,counter 4
Epoch 10 Train cost: 9.23520273752 Validation cost: 9.23854431346,counter 5
Epoch 11 Train cost: 9.23003287019Train mae: 9.21559726416 Validation cost: 8.53147526789 Validation mae 8.51864964394,counter 5 __best__ 
Epoch 12 Train cost: 9.22998567054 Validation cost: 9.1890047465,counter 1
Epoch 13 Train cost: 9.2207538031 Validation cost: 10.2373897522,counter 2
Epoch 14 Train cost: 9.22203930797 Validation cost: 10.3304676258,counter 3
Epoch 15 Train cost: 9.21698671212 Validation cost: 9.17310710502,counter 4
Epoch 16 Train cost: 9.21849923049 Validation cost: 8.99244777204,counter 5
Epoch 17 Train cost: 9.20865639676 Validation cost: 8.7466940622,counter 6
Epoch 18 Train cost: 9.20875754625 Validation cost: 8.99573858912,counter 7
Epoch 19 Train cost: 9.16958493975 Validation cost: 8.96673219876,counter 8
Epoch 20 Train cost: 8.95028239515 Validation cost: 9.20214315525,counter 9
Epoch 21 Train cost: 8.06388681354Train mae: 8.04270534787 Validation cost: 7.36739774464 Validation mae 7.33987383042,counter 9 __best__ 
